,Topic,Words,Frequency,Timestamp
0,-1,"kopp, ptt, tauben, boden, eg",26,1983-12-26 09:37:26.400
1,0,"kenia, solarenergie, sonnenlicht, sonnenenergie, wasserstoff",2,1983-12-26 09:37:26.400
2,3,"armee, flash, boeing, gordon, dc",3,1983-12-26 09:37:26.400
3,4,"sps, eg, ehedem, ogi, eidgenossenschaft",5,1983-12-26 09:37:26.400
4,5,"kopp, mafia, ali, medien, istanbul",4,1983-12-26 09:37:26.400
5,9,"georgien, udssr, helikopter, sowjetischen, lifte",1,1983-12-26 09:37:26.400
6,15,"leistungsauftrag, befiehlt, umweltschonende, alpentransversale, eved",1,1983-12-26 09:37:26.400
7,16,"sozialisten, alcatel, wirtschaftsminister, francs, kerne",1,1983-12-26 09:37:26.400
8,20,"allg, bs, schienenverkehr, transports, ville",107,1983-12-26 09:37:26.400
9,30,"gentechnologie, steueramt, ertragslage, protektion, staatsrechtliche",1,1983-12-26 09:37:26.400
10,-1,"ogi, weltwoche, eg, tastatur, 1989",108,1989-01-07 21:00:00.000
11,0,"v8, oldtimer, japaner, japanischen, eg",7,1989-01-07 21:00:00.000
12,1,"stationsstrasse, hettlingen, ladung, chauffeur, frakturen",3,1989-01-07 21:00:00.000
13,2,"rhb, hayek, sbb, bordeaux, generaldirektion",12,1989-01-07 21:00:00.000
14,3,"sas, swissair, 727, maschine, loepfe",13,1989-01-07 21:00:00.000
15,4,"dreher, autopartei, mitterrand, bundessteuer, wanner",9,1989-01-07 21:00:00.000
16,5,"chi, reis, ho, libyschen, brasilien",8,1989-01-07 21:00:00.000
17,6,"bertschi, budapest, sowjetischen, 1956, marcel",8,1989-01-07 21:00:00.000
18,7,"polizist, police, polizisten, algerier, pariser",2,1989-01-07 21:00:00.000
19,8,"puschlav, poschiavo, tal, natur, 1987",5,1989-01-07 21:00:00.000
20,9,"ddr, pkw, antiquierten, rinderwahnsinn, udssr",3,1989-01-07 21:00:00.000
21,10,"club, oensingen, clubs, vereine, kellerhals",3,1989-01-07 21:00:00.000
22,11,"ddr, leipziger, belehrung, verkehrsordnung, elbe",3,1989-01-07 21:00:00.000
23,12,"schwerverletzt, neujahrstag, mitfahrenden, unschuldige, hospitalisiert",2,1989-01-07 21:00:00.000
24,14,"gandhi, villa, indischen, moritzer, college",1,1989-01-07 21:00:00.000
25,15,"eurotunnel, kent, tunnel, thatcher, kanal",1,1989-01-07 21:00:00.000
26,16,"sendung, bankverein, sex, centre, fernsehen",2,1989-01-07 21:00:00.000
27,17,"prost, abb, 1993, ostersonntag, sen",3,1989-01-07 21:00:00.000
28,18,"gehirn, blutdruck, herzens, herz, todes",3,1989-01-07 21:00:00.000
29,20,"allg, statistik, bs, spekulation, schienenverkehr",186,1989-01-07 21:00:00.000
30,21,"dienstchef, schutzmaske, pause, alarm, mittagessen",4,1989-01-07 21:00:00.000
31,26,"eg, felber, parteichef, ogi, steinegger",2,1989-01-07 21:00:00.000
32,27,"landi, dublin, landesausstellung, 1939, pub",2,1989-01-07 21:00:00.000
33,31,"kambodscha, exodus, zwist, provisorischer, ddr",1,1989-01-07 21:00:00.000
34,32,"peking, wei, chen, panzer, regierenden",1,1989-01-07 21:00:00.000
35,-1,"neat, lsva, 00, eu, bundesrat",5269,1994-01-06 18:00:00.000
36,0,"km, mercedes, benz, ps, ford",900,1994-01-06 18:00:00.000
37,1,"verletzt, personenwagen, automobilist, kantonspolizei, angaben",711,1994-01-06 18:00:00.000
38,2,"bahn, neat, sbb, bahnen, 2000",679,1994-01-06 18:00:00.000
39,3,"swissair, sabena, flughafen, air, fluggesellschaften",856,1994-01-06 18:00:00.000
40,4,"fdp, sp, gp, svp, cvp",317,1994-01-06 18:00:00.000
41,5,"uno, serben, moskau, bosnien, nato",278,1994-01-06 18:00:00.000
42,6,"angeklagte, angeklagten, urteil, obergericht, bundesgericht",249,1994-01-06 18:00:00.000
