,topic_id,label
0,0,Automarken
1,1,Verkehrsunfälle
2,2,Reisen
3,3,Luftverkehrsgesellschaften
4,4,Parteien
5,5,Länder
6,6,Justiz
7,7,Kriminalität
8,8,Wetterlage
9,9,Verkehrstechnologie
10,10,Verbrechen
11,11,Verkehrssicherheit
12,12,Verkehrsunfallursachen
13,13,Verkehrsmittel
14,14,Altersgruppen
15,15,Verkehrstunnel
16,16,Verkehrswesen
17,17,Sportarten
18,18,Verkehrsunfälle
19,19,Verkehrspolitik
20,20,Politik
21,21,Unfälle
22,22,Verkehrsunfälle
23,23,Brücken
24,24,Formel 1
25,25,Parteien
26,26,Schweizerische Politik
27,27,Kunstgeschichte
28,28,Stadtplanung
29,29,Verkehrssicherheit
30,30,Technologie
31,31,Arbeitskampf
32,32,Politik
33,33,Verkehrsunfälle
34,34,Pandemie
35,35,Verkehrspolitik
36,36,Barrierefreiheit
