,topic,keywords,attention
0,0,"['Fall', 'Monat', 'Polizei', 'halten', 'Person', 'handeln', 'gelten', 'stellen', 'Sicherheit', 'nehmen', 'Tag', 'Woche', 'lassen', 'schreiben', 'Situation', 'Polizist', 'Gericht', 'zeigen', 'Behörde', 'erklären']",0.122830046932311
1,1,"['Land', 'Mensch', 'China', 'USA', 'chinesisch', 'Stadt', 'Welt', 'amerikanisch', 'Regierung', 'New', 'Dollar', 'Wasser', 'Tag', 'Leben', 'Hauptstadt', 'Insel', 'York', 'Staat', 'Armee', 'Präsident']",0.023222091301834287
2,2,"['Modell', 'Marke', 'Hersteller', 'BMW', 'Markt', 'Mercedes', 'Europa', 'Preis', 'Audi', 'Porsche', 'Motor', 'verkaufen', 'Kunde', 'Toyota', 'Ford', 'Renault', 'Platz', 'Diesel', 'Autohersteller', 'Verbrennungsmotor']",0.032726211255704483
3,3,"['Prozent', 'Zahl', 'Million', 'hoch', 'liegen', 'steigen', 'vergangen', 'Anteil', 'Vergleich', 'Post', 'Schweizer', 'zeigen', 'Branche', 'Studie', 'Nachfrage', 'rechnen', 'sinken', 'Milliarde', 'Monat', 'erreichen']",0.04762794280827546
4,4,"['Unfall', 'Polizei', 'Mann', 'verletzen', 'Kantonspolizei', 'Uhr', 'Spital', 'Person', 'Frau', 'Richtung', 'Lenker', 'bringen', 'mitteilen', 'Zürich', 'Verletzung', 'Kollision', 'geraten', 'mussen', 'Wagen', 'Brand']",0.08512440054918369
5,5,"['Basel', 'BVB', 'Berlin', 'Region', 'Liestal', 'Elektrifizierung', 'Baselland', 'Ostermundig', 'Piste', 'Parkhaus', 'BLT', 'Allschwil', 'ambitioniert', 'Suter', 'Garagist', 'Regierung', 'Nordwestschweiz', 'Social', 'Halter', 'GmbH']",0.006156740765797944
6,6,"['Zürich', 'SVP', 'Stadtrat', 'grüne', 'Partei', 'FDP', 'Kanton', 'Zürcher', 'Gemeinderat', 'Initiative', 'Regierungsrat', 'Regierung', 'Rat', 'Parlament', 'fordern', 'Stadt', 'Mehrheit', 'Stimme', 'Vorstoss', 'Abstimmung']",0.04742501801157504
7,7,"['Lastwagen', 'Autobahn', 'Strasse', 'Meter', 'Stau', 'Stunde', 'Fahrbahn', 'Feuerwehr', 'Baum', 'Kilometer', 'Schnee', 'Chauffeur', 'Richtung', 'Feuer', 'Spur', 'Nacht', 'Zentimeter', 'Schaden', 'führen', 'Stras']",0.027465415001146094
8,8,"['SBB', 'Zug', 'Bahn', 'Bahnhof', 'Strecke', 'BLS', 'Zürich', 'Linie', 'Betrieb', 'Angebot', 'Stunde', 'Verbindung', 'Passagier', 'Minute', 'Wasserstoff', 'Gleis', 'Dezember', 'verkehren', 'Verspätung', 'Meyer']",0.05873017449370667
9,9,"['deutsch', 'Deutschland', 'Schweizer', 'Frankreich', 'Maske', 'europäisch', 'Europa', 'französisch', 'Italien', 'Land', 'Paris', 'Regierung', 'London', 'Österreich', 'international', 'Grenze', 'britisch', 'Brüssel', 'italienisch', 'Woche']",0.017784601292469983
