,Topic ID,time span,keywords
0,0,0,"[(0.006669667613831145, 'Prozent'), (0.006563717216740536, 'hoch'), (0.005901335527822792, 'Entwicklung'), (0.004752149554710342, 'öffentlich'), (0.004528721213586059, 'Bereich'), (0.00392528630405503, 'Energie'), (0.003830971941583921, 'wirtschaftlich'), (0.0038007755897512072, 'Studie'), (0.003772781100790329, 'Land'), (0.00373540011346939, 'verschieden'), (0.003694838847479249, 'Ziel'), (0.0036090576636762213, 'Wirtschaft'), (0.003531592335460704, 'Kosten'), (0.0034078022903710637, 'schweizerisch'), (0.0033809519200701937, 'zeigen'), (0.0033103780822843773, 'Umwelt'), (0.0032872948586930503, 'Grund'), (0.0032072519476060023, 'Frage'), (0.0031829916452390753, 'wichtig'), (0.0031274330459281022, 'erreichen')]"
1,0,1,"[(0.006899792051993225, 'Prozent'), (0.006601822418585839, 'hoch'), (0.00589896580627748, 'Entwicklung'), (0.004731391937612687, 'öffentlich'), (0.004422953789015656, 'Bereich'), (0.004089825310928977, 'Energie'), (0.003893835927083433, 'Studie'), (0.003832916639137145, 'Land'), (0.0037833441669658683, 'Ziel'), (0.0037218176201508245, 'wirtschaftlich'), (0.0036211152583534747, 'verschieden'), (0.00359200179143073, 'Wirtschaft'), (0.0035553540204633213, 'Kosten'), (0.0034083535991255433, 'zeigen'), (0.0033351282365356913, 'Umwelt'), (0.003202523078682924, 'schweizerisch'), (0.003198773848791495, 'Frage'), (0.0031689745843823903, 'wichtig'), (0.0031627738977360277, 'Grund'), (0.0031463983187774774, 'erreichen')]"
2,0,2,"[(0.007386581089787862, 'Prozent'), (0.0066513506966978326, 'hoch'), (0.005872737631801538, 'Entwicklung'), (0.0046668315429172135, 'öffentlich'), (0.0044526651895501505, 'Energie'), (0.004164805213157041, 'Bereich'), (0.004081889215636568, 'Studie'), (0.003961194466908464, 'Ziel'), (0.0039548565220005995, 'Land'), (0.00359798654882317, 'Kosten'), (0.0035490432649067554, 'Wirtschaft'), (0.0034733423417632084, 'Umwelt'), (0.003464013811447665, 'wirtschaftlich'), (0.0034533618018874235, 'zeigen'), (0.003352140867436875, 'verschieden'), (0.003291466914911827, 'Beispiel'), (0.0031766721918271676, 'erreichen'), (0.003171225023219136, 'Frage'), (0.003126663063551249, 'Massnahm'), (0.0031149353655656365, 'wichtig')]"
3,0,3,"[(0.008196615498128307, 'Prozent'), (0.006685619800107849, 'hoch'), (0.0057982456931483465, 'Entwicklung'), (0.00509804477837875, 'Energie'), (0.0045051897551036954, 'öffentlich'), (0.004369575976979037, 'Studie'), (0.004232841808606798, 'Ziel'), (0.004138176274098592, 'Land'), (0.003999293120550147, 'Umwelt'), (0.003708803892919714, 'Bereich'), (0.0036429502142818924, 'Kosten'), (0.0035735919973801118, 'Beispiel'), (0.003507382416602877, 'zeigen'), (0.0034714998762895907, 'Wirtschaft'), (0.003300263438125356, 'Massnahm'), (0.003207638626412557, 'erreichen'), (0.0031683366802739083, 'Zukunft'), (0.0031092567159868314, 'Frage'), (0.003082439090537403, 'Mobilität'), (0.003004346617794975, 'wirtschaftlich')]"
4,0,4,"[(0.009077590788716335, 'Prozent'), (0.0067792757524323035, 'hoch'), (0.005894977680503615, 'Energie'), (0.005610222217202177, 'Entwicklung'), (0.0046559815436288034, 'Studie'), (0.004512231353424991, 'Ziel'), (0.004407712777050319, 'Land'), (0.004264346276603985, 'öffentlich'), (0.004079694567055344, 'Umwelt'), (0.0039014857642108614, 'Beispiel'), (0.0037483131356384684, 'Kosten'), (0.0037381845519777095, 'Mobilität'), (0.003547930343873876, 'zeigen'), (0.003445440986627851, 'Zukunft'), (0.003344331913376291, 'Wirtschaft'), (0.00329938668117475, 'Massnahm'), (0.0032135055506244715, 'erreichen'), (0.003099436090780474, 'Bereich'), (0.0030238908584262563, 'Frage'), (0.0029806660203264513, 'liegen')]"
5,0,5,"[(0.009774174631287085, 'Prozent'), (0.006670583627952609, 'Energie'), (0.006629633976962565, 'hoch'), (0.0053927631975269254, 'Entwicklung'), (0.004855283129619653, 'Studie'), (0.004762305642031541, 'Ziel'), (0.004689833102900323, 'Land'), (0.004544083157431947, 'Mobilität'), (0.004226519449881768, 'Beispiel'), (0.0039133966102527845, 'öffentlich'), (0.0038691599425883672, 'Kosten'), (0.003822345983564855, 'Zukunft'), (0.003714348838475753, 'Umwelt'), (0.003586906997495425, 'zeigen'), (0.003480507938158662, 'Strom'), (0.003207750384493876, 'Schweizer'), (0.0032004868695630273, 'erreichen'), (0.0031980732287710516, 'Wirtschaft'), (0.00318384295352913, 'brauchen'), (0.0031226413406590763, 'gross')]"
6,0,6,"[(0.010130585822891315, 'Prozent'), (0.007206829084870502, 'Energie'), (0.006228481933418999, 'hoch'), (0.005231229495018109, 'Mobilität'), (0.005107216774739331, 'Entwicklung'), (0.004922337564654502, 'Studie'), (0.004910333660587556, 'Ziel'), (0.004908339264939236, 'Strom'), (0.004884475899303358, 'Land'), (0.004447871282678503, 'Beispiel'), (0.004179420206377362, 'Zukunft'), (0.004052443774944166, 'brauchen'), (0.003914930393478008, 'Kosten'), (0.0036210459637516165, 'zeigen'), (0.0034805675724746683, 'öffentlich'), (0.003431049302521622, 'Schweizer'), (0.003355381363721016, 'gross'), (0.0033197520847070097, 'Umwelt'), (0.003162596951931286, 'erreichen'), (0.0030846245263292642, 'Infrastruktur')]"
7,0,7,"[(0.010166580270451388, 'Prozent'), (0.007475381310596057, 'Energie'), (0.006182953566306355, 'Strom'), (0.0058455240990419365, 'hoch'), (0.005605972040803453, 'Mobilität'), (0.004944201469865176, 'Ziel'), (0.004933312090603939, 'Land'), (0.0049019527687075735, 'Studie'), (0.004723244675791737, 'brauchen'), (0.004693791735653766, 'Entwicklung'), (0.00451947880644335, 'Beispiel'), (0.0043537248885401085, 'Zukunft'), (0.0038847361491509474, 'Kosten'), (0.0037189296267235938, 'Wasserstoff'), (0.003632723253178169, 'zeigen'), (0.003520571766964044, 'Schweizer'), (0.0034990546017062496, 'gross'), (0.0031812373122245665, 'Mensch'), (0.0031796773406526026, 'setzen'), (0.003174752699368964, 'Elektroauto')]"
8,1,0,"[(0.034697765757933964, 'Swissair'), (0.01764635350858299, 'Schienenverkehr'), (0.011573525571471746, 'Transports'), (0.010115656050790234, 'Unternehmen'), (0.009668702293119849, 'Swiss'), (0.008729736265889085, 'Fluggesellschaft'), (0.007503438077669277, 'Gesellschaft'), (0.007253756939379777, 'Zürich'), (0.007050065087068205, 'Statistik'), (0.006611700700999849, 'Crossair'), (0.0063011947816243065, 'Luftverkehr'), (0.006056444091077177, 'Markt'), (0.0055467091766524855, 'Genf'), (0.00553079344539264, 'Firma'), (0.005414948895201497, 'Air'), (0.004804047128484182, 'Suisse'), (0.004501304914719205, 'Schweizer'), (0.004327602981027919, 'Flughafen'), (0.0039033652122431825, 'Wirtschaft'), (0.003757607792409464, 'Partner')]"
9,1,1,"[(0.031280031102276576, 'Swissair'), (0.011586889940362739, 'Schienenverkehr'), (0.010808429983927708, 'Unternehmen'), (0.010432615791572102, 'Swiss'), (0.008575551528177412, 'Fluggesellschaft'), (0.007795106482386867, 'Transports'), (0.0072871886826233224, 'Zürich'), (0.0071907909118049075, 'Gesellschaft'), (0.006747566354540082, 'Crossair'), (0.006127141862875086, 'Markt'), (0.0060806039115868914, 'Firma'), (0.005703818477727745, 'Luftverkehr'), (0.005612631555345695, 'Statistik'), (0.0052984409215688635, 'Air'), (0.005156190812643942, 'Genf'), (0.004738863275754408, 'Schweizer'), (0.00432024921646442, 'Suisse'), (0.004263656952272285, 'Flughafen'), (0.0037920617168605278, 'Partner'), (0.0037382894559673573, 'Verwaltungsrat')]"
10,1,2,"[(0.02378678611574241, 'Swissair'), (0.012209703013238917, 'Unternehmen'), (0.012000915852901905, 'Swiss'), (0.007999899464000088, 'Fluggesellschaft'), (0.007288436479588555, 'Firma'), (0.007136395171470423, 'Zürich'), (0.006725874412259741, 'Crossair'), (0.006364362360127167, 'Gesellschaft'), (0.006152161334074721, 'Markt'), (0.005184844159012061, 'Schweizer'), (0.005080836634333751, 'Schienenverkehr'), (0.004882027248955239, 'Air'), (0.00429644116232767, 'Luftverkehr'), (0.004171202542566743, 'Genf'), (0.003987617956141353, 'Flughafen'), (0.0039369573954101894, 'Verwaltungsrat'), (0.003847721633155577, 'Bank'), (0.003790895946416291, 'Partner'), (0.003698662031238417, 'übernehmen'), (0.0036985818344379222, 'Basel')]"
